Starting duty-cycle loop
iteration,frequency_in,frequency_out,resolution_out,ratio,read_val
0,10000,10000,12,0.067,0.06615
1,10000,10000,12,0.067,0.06345
2,10000,10000,12,0.067,0.0628
3,10000,10000,12,0.067,0.0635
4,10000,10000,12,0.067,0.06275
0,5000,15000,12,0.067,0.0641
1,5000,15000,12,0.067,0.0618
2,5000,15000,12,0.067,0.0612
3,5000,15000,12,0.067,0.0615
4,5000,15000,12,0.067,0.0614
0,10000,10000,12,0.097,0.09275
1,10000,10000,12,0.097,0.093
2,10000,10000,12,0.097,0.09295
3,10000,10000,12,0.097,0.092
4,10000,10000,12,0.097,0.0931
0,5000,15000,12,0.097,0.0919
1,5000,15000,12,0.097,0.0918
2,5000,15000,12,0.097,0.092
3,5000,15000,12,0.097,0.092
4,5000,15000,12,0.097,0.091
0,10000,10000,12,0.051,0.04835
1,10000,10000,12,0.051,0.04865
2,10000,10000,12,0.051,0.04825
3,10000,10000,12,0.051,0.0488
4,10000,10000,12,0.051,0.0483
0,5000,15000,12,0.051,0.0481
1,5000,15000,12,0.051,0.0489
2,5000,15000,12,0.051,0.0489
3,5000,15000,12,0.051,0.049
4,5000,15000,12,0.051,0.0482
0,10000,10000,12,0.961,0.95125
1,10000,10000,12,0.961,0.95775
2,10000,10000,12,0.961,0.95785
3,10000,10000,12,0.961,0.958
4,10000,10000,12,0.961,0.9578
0,5000,15000,12,0.961,0.9576
1,5000,15000,12,0.961,0.9607
2,5000,15000,12,0.961,0.9615
3,5000,15000,12,0.961,0.9609
4,5000,15000,12,0.961,0.9603
0,10000,10000,12,0.85,0.8442
1,10000,10000,12,0.85,0.8429
2,10000,10000,12,0.85,0.84285
3,10000,10000,12,0.85,0.8412
4,10000,10000,12,0.85,0.84165
0,5000,15000,12,0.85,0.8454
1,5000,15000,12,0.85,0.8428
2,5000,15000,12,0.85,0.8429
3,5000,15000,12,0.85,0.8428
4,5000,15000,12,0.85,0.8428
0,10000,10000,12,0.604,0.59285
1,10000,10000,12,0.604,0.59005
2,10000,10000,12,0.604,0.59015
3,10000,10000,12,0.604,0.58995
4,10000,10000,12,0.604,0.59005
0,5000,15000,12,0.604,0.593
1,5000,15000,12,0.604,0.5899
2,5000,15000,12,0.604,0.5898
3,5000,15000,12,0.604,0.5907
4,5000,15000,12,0.604,0.5916
0,10000,10000,12,0.306,0.29505
1,10000,10000,12,0.306,0.2957
2,10000,10000,12,0.306,0.29365
3,10000,10000,12,0.306,0.2956
4,10000,10000,12,0.306,0.29305
0,5000,15000,12,0.306,0.2975
1,5000,15000,12,0.306,0.2957
2,5000,15000,12,0.306,0.2948
3,5000,15000,12,0.306,0.2958
4,5000,15000,12,0.306,0.2955
0,10000,10000,12,0.887,0.87605
1,10000,10000,12,0.887,0.8799
2,10000,10000,12,0.887,0.88125
3,10000,10000,12,0.887,0.8799
4,10000,10000,12,0.887,0.88055
0,5000,15000,12,0.887,0.8737
1,5000,15000,12,0.887,0.8822
2,5000,15000,12,0.887,0.8825
3,5000,15000,12,0.887,0.8822
4,5000,15000,12,0.887,0.8818
0,10000,10000,12,0.772,0.7626
1,10000,10000,12,0.772,0.7627
2,10000,10000,12,0.772,0.7614
3,10000,10000,12,0.772,0.76135
4,10000,10000,12,0.772,0.76135
0,5000,15000,12,0.772,0.7612
1,5000,15000,12,0.772,0.7586
2,5000,15000,12,0.772,0.7603
3,5000,15000,12,0.772,0.762
4,5000,15000,12,0.772,0.7609
0,10000,10000,12,0.461,0.4499
1,10000,10000,12,0.461,0.4468
2,10000,10000,12,0.461,0.44555
3,10000,10000,12,0.461,0.44835
4,10000,10000,12,0.461,0.4471
0,5000,15000,12,0.461,0.4459
1,5000,15000,12,0.461,0.4457
2,5000,15000,12,0.461,0.4461
3,5000,15000,12,0.461,0.4469
4,5000,15000,12,0.461,0.4453
0,10000,10000,12,0.296,0.2848
1,10000,10000,12,0.296,0.2835
2,10000,10000,12,0.296,0.2867
3,10000,10000,12,0.296,0.2835
4,10000,10000,12,0.296,0.2842
0,5000,15000,12,0.296,0.2853
1,5000,15000,12,0.296,0.2824
2,5000,15000,12,0.296,0.2833
3,5000,15000,12,0.296,0.2834
4,5000,15000,12,0.296,0.2832
0,10000,10000,12,0.697,0.68265
1,10000,10000,12,0.697,0.6842
2,10000,10000,12,0.697,0.6871
3,10000,10000,12,0.697,0.68405
4,10000,10000,12,0.697,0.68725
0,5000,15000,12,0.697,0.6861
1,5000,15000,12,0.697,0.6857
2,5000,15000,12,0.697,0.6852
3,5000,15000,12,0.697,0.6848
4,5000,15000,12,0.697,0.6859
0,10000,10000,12,0.957,0.9541
1,10000,10000,12,0.957,0.95715
2,10000,10000,12,0.957,0.95675
